L,S,A_init,T
60,40,0,1
44,56,0,101
44,56,0,201
40,60,0,301
41,59,0,401
44,56,0,501
50,50,0,601
54,46,0,701
57,43,0,801
60,40,0,901
60,40,0,1001
63,37,0,1101
63,37,0,1201
65,35,0,1301
63,37,0,1401
95,5,10,1
100,0,10,101
100,0,10,201
100,0,10,301
100,0,10,401
100,0,10,501
100,0,10,601
100,0,10,701
100,0,10,801
100,0,10,901
100,0,10,1001
100,0,10,1101
100,0,10,1201
100,0,10,1301
100,0,10,1401
91,9,20,1
99,1,20,101
100,0,20,201
100,0,20,301
100,0,20,401
100,0,20,501
100,0,20,601
100,0,20,701
100,0,20,801
100,0,20,901
100,0,20,1001
100,0,20,1101
100,0,20,1201
100,0,20,1301
100,0,20,1401
92,8,30,1
99,1,30,101
99,1,30,201
100,0,30,301
100,0,30,401
100,0,30,501
100,0,30,601
100,0,30,701
100,0,30,801
100,0,30,901
100,0,30,1001
100,0,30,1101
100,0,30,1201
100,0,30,1301
100,0,30,1401
94,6,40,1
99,1,40,101
100,0,40,201
100,0,40,301
100,0,40,401
100,0,40,501
100,0,40,601
100,0,40,701
100,0,40,801
100,0,40,901
100,0,40,1001
100,0,40,1101
100,0,40,1201
100,0,40,1301
100,0,40,1401
92,8,50,1
100,0,50,101
100,0,50,201
100,0,50,301
100,0,50,401
100,0,50,501
100,0,50,601
100,0,50,701
100,0,50,801
100,0,50,901
100,0,50,1001
100,0,50,1101
100,0,50,1201
100,0,50,1301
100,0,50,1401
