L,S,A_init,T
<<<<<<< HEAD
754,270,0,1
853,171,0,101
813,211,0,201
883,141,0,301
857,167,0,401
900,124,0,501
830,194,0,601
807,217,0,701
858,166,0,801
809,215,0,901
789,235,0,1001
719,305,0,1101
735,289,0,1201
817,207,0,1301
805,219,0,1401
713,311,0.001,1
638,386,0.001,101
553,471,0.001,201
603,421,0.001,301
663,361,0.001,401
703,321,0.001,501
717,307,0.001,601
622,402,0.001,701
578,446,0.001,801
487,537,0.001,901
567,457,0.001,1001
456,568,0.001,1101
440,584,0.001,1201
413,611,0.001,1301
309,715,0.001,1401
1024,0,0.002,1
1024,0,0.002,101
1024,0,0.002,201
1024,0,0.002,301
1024,0,0.002,401
1024,0,0.002,501
1024,0,0.002,601
1024,0,0.002,701
1024,0,0.002,801
1024,0,0.002,901
1024,0,0.002,1001
1024,0,0.002,1101
1024,0,0.002,1201
1024,0,0.002,1301
1024,0,0.002,1401
1024,0,0.003,1
1024,0,0.003,101
1024,0,0.003,201
1024,0,0.003,301
1024,0,0.003,401
1024,0,0.003,501
1024,0,0.003,601
1024,0,0.003,701
1024,0,0.003,801
1024,0,0.003,901
1024,0,0.003,1001
1024,0,0.003,1101
1024,0,0.003,1201
1024,0,0.003,1301
1024,0,0.003,1401
1024,0,0.004,1
1024,0,0.004,101
1024,0,0.004,201
1024,0,0.004,301
1024,0,0.004,401
1024,0,0.004,501
1024,0,0.004,601
1024,0,0.004,701
1024,0,0.004,801
1024,0,0.004,901
1024,0,0.004,1001
1024,0,0.004,1101
1024,0,0.004,1201
1024,0,0.004,1301
1024,0,0.004,1401
1024,0,0.005,1
1024,0,0.005,101
1024,0,0.005,201
1024,0,0.005,301
1024,0,0.005,401
1024,0,0.005,501
1024,0,0.005,601
1024,0,0.005,701
1024,0,0.005,801
1024,0,0.005,901
1024,0,0.005,1001
1024,0,0.005,1101
1024,0,0.005,1201
1024,0,0.005,1301
1024,0,0.005,1401
1024,0,0.006,1
1024,0,0.006,101
1024,0,0.006,201
1024,0,0.006,301
1024,0,0.006,401
1024,0,0.006,501
1024,0,0.006,601
1024,0,0.006,701
1024,0,0.006,801
1024,0,0.006,901
1024,0,0.006,1001
1024,0,0.006,1101
1024,0,0.006,1201
1024,0,0.006,1301
1024,0,0.006,1401
1024,0,0.007,1
1024,0,0.007,101
1024,0,0.007,201
1024,0,0.007,301
1024,0,0.007,401
1024,0,0.007,501
1024,0,0.007,601
1024,0,0.007,701
1024,0,0.007,801
1024,0,0.007,901
1024,0,0.007,1001
1024,0,0.007,1101
1024,0,0.007,1201
1024,0,0.007,1301
1024,0,0.007,1401
1024,0,0.008,1
1024,0,0.008,101
1024,0,0.008,201
1024,0,0.008,301
1024,0,0.008,401
1024,0,0.008,501
1024,0,0.008,601
1024,0,0.008,701
1024,0,0.008,801
1024,0,0.008,901
1024,0,0.008,1001
1024,0,0.008,1101
1024,0,0.008,1201
1024,0,0.008,1301
1024,0,0.008,1401
1024,0,0.009,1
1024,0,0.009,101
1024,0,0.009,201
1024,0,0.009,301
1024,0,0.009,401
1024,0,0.009,501
1024,0,0.009,601
1024,0,0.009,701
1024,0,0.009,801
1024,0,0.009,901
1024,0,0.009,1001
1024,0,0.009,1101
1024,0,0.009,1201
1024,0,0.009,1301
1024,0,0.009,1401
=======
481,543,0,1
435,589,0,101
599,425,0,201
520,504,0,301
469,555,0,401
446,578,0,501
441,583,0,601
435,589,0,701
432,592,0,801
473,551,0,901
581,443,0,1001
594,430,0,1101
587,437,0,1201
575,449,0,1301
596,428,0,1401
>>>>>>> refs/remotes/origin/master
1024,0,0.01,1
1024,0,0.01,101
1024,0,0.01,201
1024,0,0.01,301
1024,0,0.01,401
1024,0,0.01,501
1024,0,0.01,601
1024,0,0.01,701
1024,0,0.01,801
1024,0,0.01,901
1024,0,0.01,1001
1024,0,0.01,1101
1024,0,0.01,1201
1024,0,0.01,1301
1024,0,0.01,1401
